name,brand,price,link,color01
【NIKE 耐吉】 休閒鞋 健走鞋 慢跑鞋 運動鞋 AIR MAX PULSE/ PEGASUS GTX 女鞋 多款任選(DJ7929001&),NIKE ,"4,900",https://m.momoshop.com.tw/goods.momo?i_code=12016546&mdiv=searchEngine&oid=12_15&kw=%E5%A5%B3%E9%9E%8B,多色
【KangaROOS】DAZZLE 經典老爹鞋 白藍綠 女鞋 KW32287,KangaROOS,"1,890",https://m.momoshop.com.tw/goods.momo?i_code=11747897&mdiv=searchEngine&oid=15_19&kw=%E5%A5%B3%E9%9E%8B,米色
【adidas 愛迪達】運動鞋 休閒鞋 男鞋 女鞋 BW ARMY(BZ0579),adidas ,"2,723",https://m.momoshop.com.tw/goods.momo?i_code=11877721&mdiv=searchEngine&oid=28_3&kw=%E5%A5%B3%E9%9E%8B,白色
【FAIR LADY】軟實力 側V拼接免綁帶厚底休閒鞋(洋紅、502388),FAIR LADY,"4,980",https://m.momoshop.com.tw/goods.momo?i_code=8856906&mdiv=searchEngine&oid=13_6&kw=%E5%A5%B3%E9%9E%8B,白色紅色
【FILA】休閒鞋 Circuit 女鞋 白 全白 老爹鞋 小白鞋 復古 厚底 增高 穿搭 百搭(5J905W111),FILA,"1,580",https://m.momoshop.com.tw/goods.momo?i_code=10835294&mdiv=searchEngine&oid=7_19&kw=%E5%A5%B3%E9%9E%8B,白色
【MLB】老爹鞋 學長鞋 Chunky Liner系列 洋基/紅襪隊(3ASXCLB3N/3ASXCA12N-多款任選),MLB,"4,090",https://m.momoshop.com.tw/goods.momo?i_code=11190919&mdiv=searchEngine&oid=4_8&kw=%E5%A5%B3%E9%9E%8B,黑色白色灰色米色
【NEW BALANCE】NB 327 休閒鞋 女鞋 男(WS327KA WS327SFD WS327KB WS327JRC WS327CD MS327CGW),NEW BALANCE,"2,980",https://m.momoshop.com.tw/goods.momo?i_code=11920592&mdiv=searchEngine&oid=5_8&kw=%E5%A5%B3%E9%9E%8B,白色
【VOSUN】女款 加長專業暖毛雪鞋 .附冰爪_耐磨大底. 防潑水雪靴.保暖防雪.防滑(黑 VO-326L),VOSUN,"1,980",https://m.momoshop.com.tw/goods.momo?i_code=3735119&mdiv=searchEngine&oid=20_2&kw=%E5%A5%B3%E9%9E%8B,黑色
【NIKE 耐吉】 Air Max 270 女 休閒鞋 三色任選(AH6789001/AH6789601/AH6789110),NIKE,"2,450",https://m.momoshop.com.tw/goods.momo?i_code=11682804&mdiv=searchEngine&oid=14_1&kw=%E5%A5%B3%E9%9E%8B,黑色白色多色
【NEW BALANCE】NB 運動鞋/復古鞋_男鞋/女鞋_米白色_BB550PWG-D(IU著用),NEW BALANCE,"3,492",https://m.momoshop.com.tw/goods.momo?i_code=11666869&mdiv=searchEngine&oid=7_15&kw=%E5%A5%B3%E9%9E%8B,米色
